,date,text
31,"Nov 03, 2022","Joe Kent is pro-partisan gridlock. He thinks the way to get what you want in Congress is to hold up the process. 

This doesn’t help voters get food on the table and gas in the tank. 

#WA03 deserves a Representative who’s willing to work across the aisle to get things done."
32,"Nov 03, 2022","Joe Kent thinks the January 6th attack on the Capital was an ""intelligence operation"" planned by a shadowy, unnamed cabal. He is disconnected from reality and a threat to our democracy.

Please watch &amp; share to help me defeat him. https://t.co/fvU5t3KHld"
33,"Nov 03, 2022","#WA03 families like mine are getting hit hard by rising costs. Inflation is a global issue, not a partisan issue – but Joe Kent would rather cast blame than propose a real solution. 

We must revitalize American manufacturing and re-invest in career and technical education."
34,"Nov 02, 2022",Sign up for a canvassing shift here: https://t.co/4ihF9llC04
35,"Nov 02, 2022","With less than a week left until Election Day, I’m so excited to be out here again knocking on doors and talking to voters in #WA03. 

I hope I can count on you to do the same! https://t.co/rcHtwgfaIM"
36,"Nov 02, 2022",RT @PPAAWest: Marie Gluesenkamp Perez has experienced firsthand how important it is to protect reproductive health care. Let's send a true…
37,"Nov 02, 2022","Joe Kent lives in a far-right fantasy world. He believes the rioters who attacked the Capital are ""political prisoners"".

Remember January 6th when you vote. Please watch and share. https://t.co/9BJmIMpKiH"
38,"Nov 02, 2022","Thank you to everyone who came out to our rally this evening. 

I was honored to be joined by #WA03 native Lt. Gov Heck &amp; so many wonderful supporters who understand what’s at stake in this election. https://t.co/PHrgNTJeMO"
39,"Nov 02, 2022","Joe Kent would be a disaster for us all, and right now the only person standing in his way is me.

Help us reach voters in every corner of the district by Election Day: https://t.co/iQsEmAa5kB https://t.co/et5kOFE0Or"
40,"Nov 01, 2022","Election Day is one week away! This is not a race that you want to sit in the back seat and observe. There is far too much at stake. 

There is still time to make a difference. Don’t watch the news a week from today and wish you had done more. Sign up now: https://t.co/4ihF9l4yY4"
41,"Nov 01, 2022","While political violence and threats against nonpartisan election workers are on the rise, Joe Kent thinks everyone should have access to military-grade weapons. Joe Kent has also said he believes there is a war happening in the U.S.

Believe him when he says these things. https://t.co/mOFSrKYGpU"
42,"Nov 01, 2022",Winona Ryder here wishing you a Happy Halloween 🎃 https://t.co/s6UOlXqIWu
43,"Oct 31, 2022",Happy Halloween 🎃 Need a last-minute costume idea? https://t.co/NrAWytHq75
44,"Oct 31, 2022","Rural downtowns are the backbones of rural communities. I’m proud of the work I did to support small businesses as Executive Director of the Stevenson Downtown Association.

You can trust I will show up for this district because I have a record of showing up for my community. https://t.co/9VhJUK9HTH"
45,"Oct 31, 2022","Join me tomorrow night for our One Week To Go campaign rally. With me will be Clark County native, Lt. Gov. Denny Heck!

Can’t wait to see you there.
https://t.co/Kyd8t09oWj"
46,"Oct 31, 2022","Joe Kent believes in ghost stories 👻 like the “Big Lie” about the 2020 presidential election… and he wants to eliminate mail-in voting. If elected, he would undermine legitimate elections and threaten the future of democracy. https://t.co/65VxGD38Aa"
47,"Oct 31, 2022","When we started this campaign we had less than a 100 followers.

Today, our people powered movement has grown by tens of thousands online. It’s going to take every one of us to get across the finish line.

We can’t stop here. Share our movement to help us keep growing! https://t.co/Kdvcx5Qhi8"
48,"Oct 31, 2022","Here’s the transcript: 

https://t.co/RzgLHGJsKM https://t.co/DOaYSAtZQo"
49,"Oct 31, 2022","Joe Kent wants to close all our borders to all immigration for the next 20 years in order to re-establish a white majority. His plan is economic sabotage and morally bankrupt, which is why he tries to hide from it on TV. https://t.co/wuqC08e2tq"
50,"Oct 30, 2022","Joe Kent says he's all about “Law &amp; Order” but wants to defund the FBI &amp; local police.

Says he's pro worker, but is anti union.

Says he loves democracy, but won’t accept the 2020 election results.

These mental gymnastics are gold medal worthy. 🥇"
51,"Oct 30, 2022","Thank you for writing this letter to the editor, Andrey. I support Ukraine in its fight for freedom and democracy. 🇺🇸🇺🇦 https://t.co/s1ExmvoEs2 https://t.co/zqmbckgldJ"
52,"Oct 30, 2022","My shop’s been broken into 4 times this year. I like it when I call and the police show up. Safe streets are a priority of mine.

Joe Kent has a different priority. He wants to defund Washington’s police departments and send our tax dollars elsewhere ⤵️ https://t.co/yiVeqTKtA2"
53,"Oct 30, 2022",Glad everyone enjoyed our new TV ad — Uma and I had fun moving the slash! https://t.co/4xy3uLeOH3 https://t.co/W57huIiCb7
54,"Oct 30, 2022","Btw, I’ve released the last 3 years of my tax returns. I run an auto repair and machine shop with my husband, and I’m proud to work in the trades. https://t.co/xBRcviS8Xl"
55,"Oct 30, 2022","“Who’s paying you to run against Jaime Herrera Beutler and run against me today?”

“My boss. At AES.”

Clear as mud.

I’m proud to earn an honest paycheck. What’s Joe Kent doing to earn his? https://t.co/xIjUqO1XgA"
56,"Oct 29, 2022",WATCH &amp; SHARE: Joe Kent doesn’t want voters to know he supports a national ban on abortion. But Washington women won’t be fooled. https://t.co/lzfkzO54Yf
57,"Oct 29, 2022","Thank you @LauralPorter for hosting a #WA03 debate on this week's episode of Straight Talk.

In addition to what's airing on KGW this weekend, Joe Kent and I took questions in a bonus round, and you need to see it to believe it. 
https://t.co/bF6ISUXmE5"
58,"Oct 29, 2022","The violent attack against Paul Pelosi is absolutely unacceptable. We must condemn this senseless act of political violence and the rhetoric that led to it. 

My deepest condolences are with Speaker Pelosi, her husband, and the rest of their family."
59,"Oct 29, 2022","More lies from Joe Kent. I'm proud to earn an honest paycheck. I've released the same 3 years of my tax returns: https://t.co/xBRcviS8Xl 

Here's the real mystery: who is signing Joe Kent’s paychecks and what is their agenda?

Voters still don’t know, and Joe Kent won’t tell us. https://t.co/4qQOx1hYVy"
60,"Oct 28, 2022","Last night’s debate settled it: Joe Kent’s agenda is nothing but dangerous extremism and fear-mongering. 

I’m running to support Washington families because we deserve better than clickbait politics.

Listen here: 
https://t.co/27P8MOKmVf"
61,"Oct 27, 2022",RT @thedailybeast: Byron Sanford told The Daily Beast that Joe Kent never dedicated a single hour to his reported role as a project manager…
62,"Oct 27, 2022","As a reminder, I own an auto repair and machine shop with my husband (it’s called DEAN’S CAR CARE btw). 

Dean and I are working parents who have difficulty finding child care options and had to build our own home because it’s so hard to get a loan."
63,"Oct 27, 2022",It’s the can’t remember where he works 30+ times for me. https://t.co/foVFVXDIbN
64,"Oct 27, 2022","No one:
Joe Kent: abortion is the same as slavery

Sent to me by a student who wanted me to share it with you. We must all say No to Joe Kent this election. https://t.co/ghnfMUwUF6"
65,"Oct 27, 2022","Join me in Longview tomorrow at the Wollenberg Auditorium in Longview. Doors open at 5:30 pm and entrance is first come first served, no ticket required. RSVP here: https://t.co/6BhcXPrYww"
66,"Oct 27, 2022","Joe Kent:

💰 “Forgot” who’s paying his salary (we still don’t know)
❌ Has only a “phantom job”, says his ex-campaign manager
👮‍♀️ Wants to defund the FBI, who investigate federal election crimes

Tomorrow @OPBTOL hosts the final #WA03 debate. Joe has a lot of questions to answer."
67,"Oct 26, 2022","Election Day is less than two weeks away and voters across Washington are casting their ballots every day. 🗳

This race is coming down to the wire. If you want to send Joe Kent packing, help us reach as many voters as possible: https://t.co/iQsEmAa5kB"
68,"Oct 26, 2022",Mr. “Law &amp; order” here wants to defund the FBI https://t.co/zGURsVM55B https://t.co/diz6LBVF6q
69,"Oct 26, 2022","RT @WAAFLCIO: The WSLC, AFL-CIO is proud to endorse @MGPforCongress. Perez will fight for our right to organize &amp; make our own healthcare d…"
70,"Oct 26, 2022","Joe Kent says he forgot the name of his employer 30+ times. That doesn’t make sense — who forgets the name of the place they work? 😳

Why is Joe hiding basic biographical information? Who does Joe work for and what's their agenda?

RT if you want answers
https://t.co/foVFVXDIbN"
71,"Oct 26, 2022",I'm debating Joe Kent on Thursday night - what questions about this would you like him to answer? https://t.co/nk1JU9XnA8
72,"Oct 25, 2022","Awful, heart-wrenching news. My deepest condolences to Rep. Jim Walsh and his family. https://t.co/zLMZidhEpy"
73,"Oct 25, 2022",Thank you to our gore-tex army who continues to show up rain or shine! https://t.co/qplwLDltdV
74,"Oct 25, 2022","I’ll be in Longview this Thursday for the for the third #WA03 Debate! Tickets will be available on a first-come-first-serve basis at the venue starting at 5:30. 

Let us know you’re coming: https://t.co/6BhcXPrYww https://t.co/Ktpmwa15td"
75,"Oct 24, 2022","Joe Kent spent his weekend with an out-of-town celebrity.

I spent mine standing with striking woodworkers, enjoying the Longview Harvest Festival, and meeting voters in Vancouver &amp; Ridgefield.

The people of this district are my priority. https://t.co/ZSSYVH5NnT"
76,"Oct 24, 2022","My business definitely exists, not that anyone needed to ask. 
https://t.co/EFCL6VZSq7"
77,"Oct 24, 2022","I don't take corporate PAC money. I rely on grassroots contributors to fund this campaign.

Please chip in now to keep our new TV ad on the air, defeat Joe Kent, and flip #WA03 blue.
https://t.co/iQsEmAa5kB"
78,"Oct 24, 2022","I'm definitely not your typical candidate for Congress. And right now, the only thing standing between Joe Kent and Congress is me. https://t.co/G5j7xgIugQ"
79,"Oct 24, 2022","We need all hands on deck in these next couple weeks. There are canvassing shifts available every day until Election Day.

Go to https://t.co/4ihF9l4yY4 and sign up for 2 shifts right now! 

Thank you, thank you, thank you. https://t.co/KjmQIoFMJM"
80,"Oct 24, 2022","RT @thedailybeast: As Trump-backed congressional candidate Joe Kent tells it, he made $122,110.36 last year as a “project manager” for a te…"
81,"Oct 23, 2022","Joe Kent’s obsession with divisive culture wars may get him a lot of attention, but it’s not going to help people in this district. It’s not going to bring jobs home, support workers, or stop inflation.

We need a Member of Congress who knows this district &amp; has real solutions."
82,"Oct 22, 2022",You can find out about upcoming volunteer opportunities here: https://t.co/p4SULgTn7S https://t.co/pRMC8uJW2G
83,"Oct 22, 2022","Ballots have started arriving in mailboxes! This is crunch time. This race will come down to how many voters we can reach over the next few weeks. 

We will defeat Kent and #FlipWA03, but only with your support. Chip in to fund our voter outreach efforts: https://t.co/iQsEmAa5kB"
84,"Oct 22, 2022",Voting is a fundamental part of our democracy &amp; candidates like Joe Kent are putting our rights at risk. So thankful for everyone who came out despite the rain to stand up for Southwest Washington. https://t.co/5rL3pTePSL
85,"Oct 21, 2022","Rain or shine, we’re rallying for our voting rights. Music starts at 4:45, see you soon! https://t.co/0KDh6zwLv8"
86,"Oct 21, 2022","My 2 cents: Rent is already too damn high for many who are struggling to put food on the table. Eliminating competition will force more families and workers into housing insecurity and homelessness.
https://t.co/nhOxsaS5wV"
87,"Oct 21, 2022","There are real political dissidents who need our support and attention. Steve Bannon is not on that list. Joe Kent is perpetually on the side of his political cronies, white nationalists, and failed celebrities — not us. https://t.co/pzw8AR8Lxz"
88,"Oct 21, 2022","Ballots are arriving in mailboxes, and if you’re as fired up as I am about protecting mail-in voting then join me tomorrow at Esther Short Park – sign up here: https://t.co/EXFsmRHVJ5 https://t.co/OHfVNhk0JR"
89,"Oct 21, 2022","Southwest Washington deserves a voice in Congress who understands our local issues &amp; will work to solve them.

I’m the only candidate who will work across the aisle to bring the federal dollars we send to D.C. back home. Joe Kent wants to burn bridges. I’m going to build bridges."
90,"Oct 20, 2022","I love living in Skamania County and I'm proud of the work I've done on the board of the Underwood Soil and Water Conservation District. 

#WA03 needs a candidate who cares about issues that affect us most directly. https://t.co/99nOysYOQI"
91,"Oct 20, 2022","A @kroger monopoly would destroy competition and raise the cost of groceries -- which families like mine already struggle to afford with inflation.

https://t.co/8dS0tiwp3W"
92,"Oct 20, 2022","Glad to earn The Columbian's endorsement. They hit the nail on the head: ""Perez has focused on issues that matter here while Kent has spent time trying to build his national profile. One candidate will work for SW WA; the other will seek celebrity status.”
https://t.co/PtFGy7Bo6e"
93,"Oct 20, 2022","Joe Kent is running a spooky TV ad telling lies about me, but here's the truth about Joe Kent:

1. He denies the results of the 2020 election 🗳
2. He plans to privatize Social Security 💵
3. He wants to ban all immigration for 20 years to stop ""demographic replacement"" 🚩"
94,"Oct 19, 2022","Our supply chain is stretched to a breaking point. I see the impact at our auto shop every day. The future of good jobs in #WA03 depends on whether we can breathe life back into American-made manufacturing with investments in career &amp; technical education.
https://t.co/YBfqq8jCUn"
95,"Oct 19, 2022","We are less than 3 weeks away from Election Day &amp; ballots are on their way to mailboxes! 

Joe Kent wants to abolish Washington’s safe and secure mail-in voting system. Join us this Friday at 5:00 to rally for our voting rights. Sign up: https://t.co/EXFsmRHVJ5"
96,"Oct 19, 2022","Access to safe reproductive care and the ability to make decisions about my own body allowed me to become a mother – and that’s true for so many women. 

I’m a pro-choice mom who will fight to protect abortion rights. Proud to be endorsed by @emilyslist. https://t.co/N6gqgqL8Vx"
97,"Oct 19, 2022","During the event I got the notification that my home was in the Nakia Creek Fire evacuation zone and had to leave early. Thank you to everyone who checked in, your kind words meant a lot. I am very thankful that my family and I are safe and grateful for our first responders."
98,"Oct 19, 2022",The Washington coast gets more beautiful every time I see it. It was great to be with everyone who came out to our meet &amp; greet in Seaview. I was also glad to visit and show my support for woodworkers on strike in Raymond. https://t.co/DDYHVVU3ww
99,"Oct 18, 2022","Candidates agree to rules before debates, but Joe Kent thinks keeping your word doesn't matter. Thanks @LWVClarkCounty for holding him accountable.

I don’t need to edit videos to make Kent sound extreme. He does that all on his own. Watch the full debate:
https://t.co/CeKbkPxW5h https://t.co/u5PrmG8vcH"
100,"Oct 18, 2022","I need your help to close our fundraising gap against Joe Kent. Please chip in today to keep our new TV ad on the air in #WA03
https://t.co/RRm9Oksbin"
101,"Oct 18, 2022","Listen to lifelong Republicans and @HerreraBeutler voters explain why they cannot vote for anti-democracy extremist Joe Kent.

I'm honored to earn their vote. Country over party. https://t.co/Ax4a0XuhaC"
102,"Oct 18, 2022","Joe Kent spent all day tweeting lies about me, which is a weird thing for a grown man to do. I’m not registered to vote in Oregon and I’ve never voted twice.

On the other hand, Joe was a registered Democrat who voted in Portland until 2020, but you’ll have to ask him about that! https://t.co/sy5SyOjwKk https://t.co/VPzUTa1NdO"
103,"Oct 18, 2022","If we haven’t met yet, I’m Marie Gluesenkamp Perez 👋 

The rural Democrat, small business owner and pro-choice mother who beat Joe Kent in the primary and will beat him again in November. https://t.co/WTI2GqJQnL"
104,"Oct 17, 2022","Objects in Joe Kent's mirror are much closer than they appear thanks to our 13,000+ grassroots contributors. Become one of them today: https://t.co/RRm9Oksbin https://t.co/n6Z6XRPBf8"
105,"Oct 17, 2022","Joe Kent thinks we should end mail-in voting in Washington State. 

Vote-by-mail is safe, secure, and Washingtonians don’t want to go back.​​

Join us this Friday for a voting rights rally in Esther Short Park 🪧 🗳 

RSVP Here: https://t.co/EXFsmRHVJ5"
106,"Oct 17, 2022",Good news for many of us. Hoping everyone impacted gets good news soon too. Grateful for all our first responders keeping us safe. https://t.co/37XiIV4MtZ
107,"Oct 17, 2022",RT @MarkBowder: Both the Washougal and Mount Pleasant school districts have canceled classes Monday due to the #NakiaCreekFire. #clark911 #…
108,"Oct 17, 2022",https://t.co/G7nazDJybh
109,"Oct 17, 2022",⚠️ Be alert as the night goes on. My home is in the Level 2 zone and my family and I spent the afternoon preparing. Thank you to our emergency responders working around the clock https://t.co/vkbEAD1p4o
110,"Oct 17, 2022",Proud to stand in solidarity with Weyerhaeuser workers on strike. https://t.co/zQHpPgrI13
111,"Oct 16, 2022","I am beyond honored to have the support of David Nierenberg &amp; Kathy McDonald. 

This campaign is for people who aren’t afraid to cross party lines to stand up for what’s right.  

Country over party 🇺🇸 https://t.co/UJf4FIDnUQ"
112,"Oct 15, 2022","Joe Kent has shown us who he is time and time again. 

On November 8th, it’s our job to show him who we are and what we stand for in #WA03. 🗳https://t.co/RRm9Oksbin"
113,"Oct 15, 2022","The second #WA03 debate is today at 2:00 pm!

Tune in at https://t.co/O4HWE2CzAy, Channel 23 or join us in person at Loowit Brewing Company: https://t.co/5oVliKDc4I https://t.co/r8usSOLYBS"
114,"Oct 14, 2022","“Well, not only because of labor, because of the demographic replacement that's happening in this country as well, right?”

Kent responded: “Yeah.” https://t.co/lW4stdvSMz https://t.co/Oa0QeBUkmQ"
115,"Oct 14, 2022","Join supporters at Loowit Brewing for a debate watch party. Drink beer, eat food, and watch the debate with good company. 

If you can’t make it, the debate will be livestreamed on https://t.co/O4HWE2CzAy (channel 23), and https://t.co/YW6kT2B1he. https://t.co/5oVliKDc4I"
116,"Oct 14, 2022","This Saturday I’m facing Joe Kent in the second #WA03 debate. I know that every time voters get the opportunity to see the stark differences between us, the choice is clear. 

There are many ways to tune into the debate⤵️"
117,"Oct 13, 2022","Our campaign is all that's standing between Kent and Congress. Help us stop him and flip #WA03
https://t.co/RRm9Oksbin"
118,"Oct 13, 2022","Joe Kent says the attack on #January6th ""reeks of an intelligence operation"" done by the police. Even today he continues defending the violent mob that ransacked the Capitol. https://t.co/AyP0ipQEqW"
119,"Oct 13, 2022","RT @BOLDDems: .@MGPforCongress “My campaign is about listening in good faith, about building bridges and finding common ground, because I k…"
120,"Oct 13, 2022","We’ve worked hard to build a coalition of supporters across the political spectrum. 

Why are you going to vote for me this November? Tell me below ⤵️"
121,"Oct 13, 2022","#ThrowbackThursday to when Joe Kent let white nationalists take over his town hall meeting.
https://t.co/RzgLHGJsKM"
122,"Oct 13, 2022","I spent my day learning more about flood, fish passage, and sediment issues on the Toutle River with Cowlitz County Commissioner Dennis Weber. He’s a Republican and I’m not, but that doesn’t mean we can’t work together to fix things. We need leaders who unite us, not divide us. https://t.co/epa3Ds1ItA"
123,"Oct 12, 2022","RT @thecolumbian: “If you piss everybody in the world off, like Joe will do, you can’t move the ball forward,” said Kathy McDonald, who res…"
124,"Oct 12, 2022","Joe Kent’s white nationalist views and repeated run-ins with Nazi sympathizers are a 5-alarm fire threatening our democracy.
https://t.co/yISosa9s4g"
125,"Oct 12, 2022","I'm committed to taking the actions necessary to confront the climate crisis. My opponent thinks climate change is a hoax invented by the Chinese government to make money. #WA03 needs a Member of Congress, not an extreme conspiracy theorist. Thank you @LCVoters for your support. https://t.co/BvvQu35wKN"
126,"Oct 12, 2022","Joe Kent’s QAnon rants are desperate, weird, and do nothing to improve the lives of people in our district.

Anyone who’s tired of this shit is welcome to join my campaign instead. I’m running because Congress could use someone who actually knows how to fix things. https://t.co/hrMAnVXytH"
127,"Oct 12, 2022","As a small business owner, I know how tough it’s been to navigate inflation.

While gas prices soar, oil companies are making record profits. It’s time for Big Oil to pay their fair share. In Congress I’ll work to stop price gouging and bring energy costs down for working people."
128,"Oct 12, 2022","As a resident of Skamania County neighboring Larch Mountain, I’d like to thank the the brave fire fighters working to contain this fire. https://t.co/xqqUxQIuH8"
129,"Oct 11, 2022","My extremist opponent has released his first TV ad. He wants to: 

❌ Ban abortion everywhere
❌ Defund the FBI
❌ Abandon Ukraine
❌ Arrest Dr. Fauci

I’ve got exactly 4 weeks to show voters what’s at stake in this election. RT &amp; chip in to help me win ⤵️
https://t.co/RRm9Oksbin"
130,"Oct 11, 2022",True patriotism is putting country over party. Honored to have the support of so many Republicans in this race. https://t.co/Jc01TTXCZa
131,"Oct 11, 2022","Right to Repair legislation is the kind of pocketbook environmentalism I will fight for in Congress. 

Consumers deserve self-sufficiency &amp; the ability to save money by repairing rather than repurchasing."
132,"Oct 10, 2022","Indigenous People are central to the life, identity, and history of Southwest Washington. Our state's motto, Alki, is a Chinook word meaning Hope for the Future. I'm committed to making sure the voices of Indigenous People are heard in Congress as we build a better future."
133,"Oct 09, 2022","I am about civility and building community,” McDonald said. “I don’t see that in him. When you legislate, you have to come to the table and have a conversation.” 

Thank you for supporting this campaign, Kathy. County over party. #WA03"
134,"Oct 09, 2022","“I think everybody needs to do their homework and make their own decisions,” said Kathy McDonald, who is leading by example.

She was vice chair of the Clark County Republican Party until recently, before leaving the organization and supporting Perez.

https://t.co/QLxkls0vM4"
135,"Oct 09, 2022",I love our farmers market volunteers! 🫶🫶 https://t.co/WDuzUVDu5K
136,"Oct 09, 2022","Joe Kent wants to dismantle mail-in voting.

Let’s be clear: vote-by-mail is safe and secure. It ensures voters who are rural, disabled, or doing shift work can still vote.

Kent’s attack on voting rights is an attack on democracy.

https://t.co/1xkSWXfce6"
137,"Oct 09, 2022","Thank you to everyone who is showing up for women, our democracy, and Washington State. 

We need each and every one of you who is knocking doors, waving signs, and showing up for this campaign! https://t.co/o2aZUPrmpM"
138,"Oct 09, 2022",@Shinyhappypdx @abbzug_b @TinaKotek Thanks for asking! You can find out about events at https://t.co/x8JOLR6Ap4 &amp; can sign up to volunteer at https://t.co/PrlYuRSfCF
139,"Oct 07, 2022","Women across the district are fired up because they know what’s at stake in this election.

There are many ways to be involved with the campaign. Huge thanks to our wonderful team of postcard writers ✍️ for getting the word out one letter at a time! 💌 https://t.co/ceIYU8wKqS"
140,"Oct 07, 2022","Joe Kent supports government mandated pregnancies, even in cases of rape and incest. 

So it’s don’t tread on me unless I have a uterus.
https://t.co/CiDbV2Obu7"
141,"Oct 07, 2022",@StateVoter The two ads I have posted here are both airing right now.
142,"Oct 07, 2022","When I look at Congress I don’t see people who represent me or my neighbors. 

I’m running to bring the voices of working people back to Washington D.C."
143,"Oct 07, 2022","Were you convicted of inciting a violent insurrection? Joe Kent’s spokesperson would like to hire you. 

https://t.co/5LBDMhP1UE"
144,"Oct 06, 2022","Affordable childcare is impossible to find. So my husband and I take our son to our auto shop with us most days. 

In Congress, I’ll fight for child tax credits so parents can make the choices that are right for their family."
145,"Oct 06, 2022","I’m supported by 

✅Planned Parenthood
✅End Citizens United 
✅WA State Labor Council

Joe Kent is supported by 

❌Matt Gaetz 
❌Peter Thiel
❌Steve Bannon. 

The choice is clear."
