,id,created_at,story,original_url,retweeted_status_id,quoted_status_id,in_reply_to_status_id,partisan_lean
7347,1334480275191914496,2020-12-03 12:51:05+00,tech: Hammer and Scorecard,https://www.militarytimes.com/news/your-military/2020/12/02/calls-for-martial-law-and-us-military-oversight-of-new-presidential-elections-draws-criticism/#.X8hpk6PuKSo.twitter,1.3343576597812265e+18,1.3343548952651203e+18,,left
7348,1334309535897579520,2020-12-03 01:32:38+00,tech: Hammer and Scorecard,https://www.waynedupree.com/2020/11/mcinerney-trump-election/?utm_source=right-rail-trending,1.3339200912520684e+18,,,right
7349,1334352910768074753,2020-12-03 04:24:59+00,tech: Hammer and Scorecard,,1.3251250667245527e+18,,,right
7350,1334482581996228610,2020-12-03 13:00:15+00,tech: Hammer and Scorecard,,1.3344778376303985e+18,1.3339578428569313e+18,,left
7351,1334482582629740546,2020-12-03 13:00:15+00,tech: Hammer and Scorecard,,1.3344778376303985e+18,1.3339578428569313e+18,,unknown
7352,1334352809928523776,2020-12-03 04:24:35+00,tech: Hammer and Scorecard,,1.334333629887959e+18,1.334327894844248e+18,,right
7353,1334528174760341505,2020-12-03 16:01:25+00,tech: Hammer and Scorecard,https://www.militarytimes.com/news/your-military/2020/12/02/calls-for-martial-law-and-us-military-oversight-of-new-presidential-elections-draws-criticism/#.X8hpk6PuKSo.twitter,1.3343576597812265e+18,1.3343548952651203e+18,,left
7354,1334528894179930114,2020-12-03 16:04:17+00,tech: Hammer and Scorecard,,,1.334517580086866e+18,,unknown
7355,1334407065264156672,2020-12-03 08:00:11+00,tech: Hammer and Scorecard,https://www.militarytimes.com/news/your-military/2020/12/02/calls-for-martial-law-and-us-military-oversight-of-new-presidential-elections-draws-criticism/#.X8hpk6PuKSo.twitter,1.3343576597812265e+18,1.3343548952651203e+18,,left
7356,1334541987576426498,2020-12-03 16:56:19+00,tech: Hammer and Scorecard,,1.3344778376303985e+18,1.3339578428569313e+18,,left
7357,1334353781383806978,2020-12-03 04:28:27+00,tech: Hammer and Scorecard,https://www.youtube.com/watch?v=rI2fvO_4g0U&feature=youtu.be,1.3342412542850417e+18,1.3342008577144463e+18,,right
7358,1334446112292425730,2020-12-03 10:35:20+00,tech: Hammer and Scorecard,https://youtu.be/_JVlyvQd7Vo,,,1.3344375046284861e+18,unknown
7359,1334580891851616259,2020-12-03 19:30:54+00,tech: Hammer and Scorecard,https://thedcpatriot.com/report-lt-gen-mcinerney-reports-us-special-forces-attacked-cia-server-farm-in-germany-these-people-have-committed-treason/,,1.3345746992973046e+18,,right
7360,1334377780901974016,2020-12-03 06:03:49+00,tech: Hammer and Scorecard,https://www.militarytimes.com/news/your-military/2020/12/02/calls-for-martial-law-and-us-military-oversight-of-new-presidential-elections-draws-criticism/#.X8hpk6PuKSo.twitter,1.3343576597812265e+18,1.3343548952651203e+18,,left
